ID,Marker,Stage,Tissue,RepID,Info,DataAuthor
ENCFF139KVM,H3K27ac,E11.5,Midbrain,2,ExpAcc:ENCSR088UKA md5sum:76c22bfbf36d25c18c2246131d7ad754 URL:https://www.encodeproject.org/files/ENCFF139KVM/@@download/ENCFF139KVM.bam genomeversion:mm10,renlab
ENCFF026YKU,H3K36me3,E16.5,Kidney,2,ExpAcc:ENCSR121BWA md5sum:81c9d5e3b35dc2181cd23c4e49c37c98 URL:https://www.encodeproject.org/files/ENCFF026YKU/@@download/ENCFF026YKU.bam genomeversion:mm10,renlab
ENCFF876CIX,H3K36me3,E16.5,Kidney,1,ExpAcc:ENCSR121BWA md5sum:0917a186c9bb1e03496650130cd702e2 URL:https://www.encodeproject.org/files/ENCFF876CIX/@@download/ENCFF876CIX.bam genomeversion:mm10,renlab
ENCFF668UKO,H3K27me3,E16.5,Liver,2,ExpAcc:ENCSR135QMP md5sum:affab6bf02a17f7ea085a8cca1f1ae12 URL:https://www.encodeproject.org/files/ENCFF668UKO/@@download/ENCFF668UKO.bam genomeversion:mm10,renlab
ENCFF735FVC,H3K27me3,E16.5,Liver,1,ExpAcc:ENCSR135QMP md5sum:8a61f3b0125b904aae04443aab75ea09 URL:https://www.encodeproject.org/files/ENCFF735FVC/@@download/ENCFF735FVC.bam genomeversion:mm10,renlab
ENCFF821PNL,H3K27me3,P0,Lung,2,ExpAcc:ENCSR025AOC md5sum:b386105505b92ef12e8ac34f2c07972e URL:https://www.encodeproject.org/files/ENCFF821PNL/@@download/ENCFF821PNL.bam genomeversion:mm10,renlab
ENCFF315FEV,H3K27me3,P0,Lung,1,ExpAcc:ENCSR025AOC md5sum:eb1b774867c1d82e7157e16ce9e1c38d URL:https://www.encodeproject.org/files/ENCFF315FEV/@@download/ENCFF315FEV.bam genomeversion:mm10,renlab
ENCFF896XKS,H3K27me3,E11.5,Liver,1,ExpAcc:ENCSR244KCW md5sum:30ebf9f877ebb387372b77aed9cdc25e URL:https://www.encodeproject.org/files/ENCFF896XKS/@@download/ENCFF896XKS.bam genomeversion:mm10,renlab
ENCFF538IKE,H3K27me3,E11.5,Liver,2,ExpAcc:ENCSR244KCW md5sum:30265ed4d1c15f7ab2a94759f112a3a8 URL:https://www.encodeproject.org/files/ENCFF538IKE/@@download/ENCFF538IKE.bam genomeversion:mm10,renlab
ENCFF122FJW,H3K4me1,E16.5,Heart,2,ExpAcc:ENCSR251LFV md5sum:1a150b014161a8bc9080650a003d0710 URL:https://www.encodeproject.org/files/ENCFF122FJW/@@download/ENCFF122FJW.bam genomeversion:mm10,renlab
ENCFF091WYZ,H3K4me1,E16.5,Heart,1,ExpAcc:ENCSR251LFV md5sum:403fe09f6079c8a8137b7254dacd3704 URL:https://www.encodeproject.org/files/ENCFF091WYZ/@@download/ENCFF091WYZ.bam genomeversion:mm10,renlab
ENCFF374PDH,H3K4me2,E14.5,Stomach,2,ExpAcc:ENCSR076MXH md5sum:be0d18f74882e21fde85e3cf163b7af5 URL:https://www.encodeproject.org/files/ENCFF374PDH/@@download/ENCFF374PDH.bam genomeversion:mm10,renlab
ENCFF480HWS,H3K4me2,E14.5,Stomach,1,ExpAcc:ENCSR076MXH md5sum:784ad5d05cc0445137ce2374a0091b07 URL:https://www.encodeproject.org/files/ENCFF480HWS/@@download/ENCFF480HWS.bam genomeversion:mm10,renlab
ENCFF600CVS,H3K4me2,E14.5,Neural-tube,2,ExpAcc:ENCSR579RZO md5sum:f7ef0cf0081cc3ca9c23d765394d4e93 URL:https://www.encodeproject.org/files/ENCFF600CVS/@@download/ENCFF600CVS.bam genomeversion:mm10,renlab
ENCFF310IZZ,H3K4me2,E14.5,Neural-tube,1,ExpAcc:ENCSR579RZO md5sum:332e5837647424f6a8bb606a72bf2ce7 URL:https://www.encodeproject.org/files/ENCFF310IZZ/@@download/ENCFF310IZZ.bam genomeversion:mm10,renlab
ENCFF770VHW,H3K36me3,P0,Liver,1,ExpAcc:ENCSR656AMS md5sum:895be908838747b2292290155314eafa URL:https://www.encodeproject.org/files/ENCFF770VHW/@@download/ENCFF770VHW.bam genomeversion:mm10,renlab
ENCFF193SJR,H3K36me3,P0,Liver,2,ExpAcc:ENCSR656AMS md5sum:0f7007b380f62a85870a8d8f6f1ef2d6 URL:https://www.encodeproject.org/files/ENCFF193SJR/@@download/ENCFF193SJR.bam genomeversion:mm10,renlab
ENCFF518XMT,H3K4me3,P0,Heart,1,ExpAcc:ENCSR875ZAO md5sum:90eb00c243776a801bb74f0db278025d URL:https://www.encodeproject.org/files/ENCFF518XMT/@@download/ENCFF518XMT.bam genomeversion:mm10,renlab
ENCFF297IPM,H3K4me3,P0,Heart,2,ExpAcc:ENCSR875ZAO md5sum:c4ee80ed366e76c162737a769753e4b9 URL:https://www.encodeproject.org/files/ENCFF297IPM/@@download/ENCFF297IPM.bam genomeversion:mm10,renlab
ENCFF853ASF,H3K9ac,E16.5,Heart,1,ExpAcc:ENCSR373LNE md5sum:a5370404c50a61f89c6fe85b3192577e URL:https://www.encodeproject.org/files/ENCFF853ASF/@@download/ENCFF853ASF.bam genomeversion:mm10,renlab
ENCFF375XXJ,H3K9ac,E16.5,Heart,2,ExpAcc:ENCSR373LNE md5sum:284b6f123b2e46cfd647a50fda269915 URL:https://www.encodeproject.org/files/ENCFF375XXJ/@@download/ENCFF375XXJ.bam genomeversion:mm10,renlab
ENCFF536TSM,H3K27ac,E13.5,Hindbrain,2,ExpAcc:ENCSR344HHI md5sum:debf1adf2eb1c27a5534fa1a3a6e3306 URL:https://www.encodeproject.org/files/ENCFF536TSM/@@download/ENCFF536TSM.bam genomeversion:mm10,renlab
ENCFF238QVV,H3K27ac,E13.5,Hindbrain,1,ExpAcc:ENCSR344HHI md5sum:45126141112596890d5eb229797dc454 URL:https://www.encodeproject.org/files/ENCFF238QVV/@@download/ENCFF238QVV.bam genomeversion:mm10,renlab
ENCFF454BWA,H3K36me3,E16.5,Hindbrain,2,ExpAcc:ENCSR864OWV md5sum:91ebfc246b0463dce138ece96d92eca0 URL:https://www.encodeproject.org/files/ENCFF454BWA/@@download/ENCFF454BWA.bam genomeversion:mm10,renlab
ENCFF967KYF,H3K36me3,E16.5,Hindbrain,1,ExpAcc:ENCSR864OWV md5sum:7771372db88bffd902532ce266ff269b URL:https://www.encodeproject.org/files/ENCFF967KYF/@@download/ENCFF967KYF.bam genomeversion:mm10,renlab
ENCFF751IBT,H3K27ac,E14.5,Kidney,1,ExpAcc:ENCSR057SHA md5sum:82cf09cee82bafccf42fc4a1718775b5 URL:https://www.encodeproject.org/files/ENCFF751IBT/@@download/ENCFF751IBT.bam genomeversion:mm10,renlab
ENCFF241KGJ,H3K27ac,E14.5,Kidney,2,ExpAcc:ENCSR057SHA md5sum:02cea584585bc336e582f2dd77e468db URL:https://www.encodeproject.org/files/ENCFF241KGJ/@@download/ENCFF241KGJ.bam genomeversion:mm10,renlab
ENCFF809JLP,H3K27me3,E13.5,Midbrain,1,ExpAcc:ENCSR129OJN md5sum:639d967ff851b77f01b374e6e783e7ee URL:https://www.encodeproject.org/files/ENCFF809JLP/@@download/ENCFF809JLP.bam genomeversion:mm10,renlab
ENCFF836LGE,H3K27me3,E13.5,Midbrain,2,ExpAcc:ENCSR129OJN md5sum:57dd1c8adc7c06c2c0ef2a66f27fe133 URL:https://www.encodeproject.org/files/ENCFF836LGE/@@download/ENCFF836LGE.bam genomeversion:mm10,renlab
ENCFF701PKN,H3K4me1,E14.5,Hindbrain,2,ExpAcc:ENCSR417TXZ md5sum:44d5231787b21b22b36ffbedb40a4ce7 URL:https://www.encodeproject.org/files/ENCFF701PKN/@@download/ENCFF701PKN.bam genomeversion:mm10,renlab
ENCFF512DGR,H3K4me1,E14.5,Hindbrain,1,ExpAcc:ENCSR417TXZ md5sum:5c0d30f14b698bc58612ce737b76ce51 URL:https://www.encodeproject.org/files/ENCFF512DGR/@@download/ENCFF512DGR.bam genomeversion:mm10,renlab
ENCFF136WYJ,H3K4me3,E16.5,Heart,2,ExpAcc:ENCSR119YTR md5sum:dda93c89499656ae59635fed0a16d6ad URL:https://www.encodeproject.org/files/ENCFF136WYJ/@@download/ENCFF136WYJ.bam genomeversion:mm10,renlab
ENCFF982WCB,H3K4me3,E16.5,Heart,1,ExpAcc:ENCSR119YTR md5sum:02cac5b61b93fb8ecd1ab56d19de435a URL:https://www.encodeproject.org/files/ENCFF982WCB/@@download/ENCFF982WCB.bam genomeversion:mm10,renlab
ENCFF065AXF,H3K27me3,E13.5,Liver,1,ExpAcc:ENCSR550QED md5sum:702876975b0aa8fc82b2b655932945d1 URL:https://www.encodeproject.org/files/ENCFF065AXF/@@download/ENCFF065AXF.bam genomeversion:mm10,renlab
ENCFF219RJB,H3K27me3,E13.5,Liver,2,ExpAcc:ENCSR550QED md5sum:dace73ad24f1ea5d2601f1ed638a08ef URL:https://www.encodeproject.org/files/ENCFF219RJB/@@download/ENCFF219RJB.bam genomeversion:mm10,renlab
ENCFF882GNF,H3K27ac,E16.5,Liver,1,ExpAcc:ENCSR802RET md5sum:74c7ad1cabcd11fbc2943b0b6ab85689 URL:https://www.encodeproject.org/files/ENCFF882GNF/@@download/ENCFF882GNF.bam genomeversion:mm10,renlab
ENCFF272EKS,H3K27ac,E16.5,Liver,2,ExpAcc:ENCSR802RET md5sum:b1959b298db3952d37ae72f6478f2354 URL:https://www.encodeproject.org/files/ENCFF272EKS/@@download/ENCFF272EKS.bam genomeversion:mm10,renlab
ENCFF313IPE,H3K9ac,E15.5,Intestine,1,ExpAcc:ENCSR412ODT md5sum:196d903d81cc4df3260d2c67236ed63c URL:https://www.encodeproject.org/files/ENCFF313IPE/@@download/ENCFF313IPE.bam genomeversion:mm10,renlab
ENCFF750GPH,H3K9ac,E15.5,Intestine,2,ExpAcc:ENCSR412ODT md5sum:aedafdebf6bf15ea0d6f17833561edb8 URL:https://www.encodeproject.org/files/ENCFF750GPH/@@download/ENCFF750GPH.bam genomeversion:mm10,renlab
ENCFF016QFW,H3K4me3,E15.5,Stomach,1,ExpAcc:ENCSR522LXN md5sum:3c4fa691bd56d270601bbe2e956b33cb URL:https://www.encodeproject.org/files/ENCFF016QFW/@@download/ENCFF016QFW.bam genomeversion:mm10,renlab
ENCFF227WOS,H3K4me3,E15.5,Stomach,2,ExpAcc:ENCSR522LXN md5sum:ca00366351847d167d967771bd5d0cbb URL:https://www.encodeproject.org/files/ENCFF227WOS/@@download/ENCFF227WOS.bam genomeversion:mm10,renlab
ENCFF042OJU,H3K27ac,E14.5,Lung,2,ExpAcc:ENCSR452WYC md5sum:a23f764e4158179efa145fda97ac5c46 URL:https://www.encodeproject.org/files/ENCFF042OJU/@@download/ENCFF042OJU.bam genomeversion:mm10,renlab
ENCFF112OZY,H3K27ac,E14.5,Lung,1,ExpAcc:ENCSR452WYC md5sum:87dc25372eff34c7762ae902e6e1c3ed URL:https://www.encodeproject.org/files/ENCFF112OZY/@@download/ENCFF112OZY.bam genomeversion:mm10,renlab
ENCFF855GLJ,H3K27me3,E14.5,Liver,2,ExpAcc:ENCSR337XUK md5sum:fecf36431a340e188ab30760bda58d69 URL:https://www.encodeproject.org/files/ENCFF855GLJ/@@download/ENCFF855GLJ.bam genomeversion:mm10,renlab
ENCFF386CAO,H3K27me3,E14.5,Liver,1,ExpAcc:ENCSR337XUK md5sum:b2e8f2120aea505f0698755e8648e497 URL:https://www.encodeproject.org/files/ENCFF386CAO/@@download/ENCFF386CAO.bam genomeversion:mm10,renlab
ENCFF531UZZ,H3K4me3,E11.5,Cranio-facial,1,ExpAcc:ENCSR320CCJ md5sum:df2538526ce96851278fecad1539ee88 URL:https://www.encodeproject.org/files/ENCFF531UZZ/@@download/ENCFF531UZZ.bam genomeversion:mm10,renlab
ENCFF389HKZ,H3K4me3,E11.5,Cranio-facial,2,ExpAcc:ENCSR320CCJ md5sum:c50b27634ac95bc364ea4b1d8ef8ef8d URL:https://www.encodeproject.org/files/ENCFF389HKZ/@@download/ENCFF389HKZ.bam genomeversion:mm10,renlab
ENCFF930TPC,H3K4me1,E14.5,Stomach,2,ExpAcc:ENCSR335WME md5sum:fdcf96c420587dfd810cc4ae68c59b45 URL:https://www.encodeproject.org/files/ENCFF930TPC/@@download/ENCFF930TPC.bam genomeversion:mm10,renlab
ENCFF167KUZ,H3K4me1,E14.5,Stomach,1,ExpAcc:ENCSR335WME md5sum:aacbdf206852db4e9a5efe2fa61cbaf2 URL:https://www.encodeproject.org/files/ENCFF167KUZ/@@download/ENCFF167KUZ.bam genomeversion:mm10,renlab
ENCFF631TWW,H3K4me3,E16.5,Kidney,2,ExpAcc:ENCSR953HNY md5sum:48ebf1deaa3880f9cf75626c96b2c9e1 URL:https://www.encodeproject.org/files/ENCFF631TWW/@@download/ENCFF631TWW.bam genomeversion:mm10,renlab
ENCFF585DGH,H3K4me3,E16.5,Kidney,1,ExpAcc:ENCSR953HNY md5sum:798a673122e8a3f9af62924bd28a1ae4 URL:https://www.encodeproject.org/files/ENCFF585DGH/@@download/ENCFF585DGH.bam genomeversion:mm10,renlab
ENCFF311KQT,H3K4me2,E14.5,Cranio-facial,1,ExpAcc:ENCSR886DWH md5sum:bc65643a9c33bc547cf4d2f0f9cd53e9 URL:https://www.encodeproject.org/files/ENCFF311KQT/@@download/ENCFF311KQT.bam genomeversion:mm10,renlab
ENCFF591CMY,H3K4me2,E14.5,Cranio-facial,2,ExpAcc:ENCSR886DWH md5sum:f46112fb78594968b3999904e1dc3876 URL:https://www.encodeproject.org/files/ENCFF591CMY/@@download/ENCFF591CMY.bam genomeversion:mm10,renlab
ENCFF306PQK,H3K4me2,E14.5,Hindbrain,2,ExpAcc:ENCSR234YTN md5sum:304e850b8680346111200ba3332ac7b2 URL:https://www.encodeproject.org/files/ENCFF306PQK/@@download/ENCFF306PQK.bam genomeversion:mm10,renlab
ENCFF902DHA,H3K4me2,E14.5,Hindbrain,1,ExpAcc:ENCSR234YTN md5sum:f4b45cbacf69de6e7d782ac1337d0235 URL:https://www.encodeproject.org/files/ENCFF902DHA/@@download/ENCFF902DHA.bam genomeversion:mm10,renlab
ENCFF145RIL,H3K27ac,E11.5,Hindbrain,1,ExpAcc:ENCSR129LAP md5sum:ed53d6e33df601ffdcca995e6926357a URL:https://www.encodeproject.org/files/ENCFF145RIL/@@download/ENCFF145RIL.bam genomeversion:mm10,renlab
ENCFF582CZH,H3K27ac,E11.5,Hindbrain,2,ExpAcc:ENCSR129LAP md5sum:89e17efbb49099d7f9ca124445351e72 URL:https://www.encodeproject.org/files/ENCFF582CZH/@@download/ENCFF582CZH.bam genomeversion:mm10,renlab
ENCFF213WON,H3K4me2,E15.5,Heart,1,ExpAcc:ENCSR377RKW md5sum:481cd187ceed72f83b5692033958c18d URL:https://www.encodeproject.org/files/ENCFF213WON/@@download/ENCFF213WON.bam genomeversion:mm10,renlab
ENCFF606EWF,H3K4me2,E15.5,Heart,2,ExpAcc:ENCSR377RKW md5sum:69376d12728be4f63cbc5139c96a24c8 URL:https://www.encodeproject.org/files/ENCFF606EWF/@@download/ENCFF606EWF.bam genomeversion:mm10,renlab
ENCFF382BPM,H3K27ac,E15.5,Neural-tube,1,ExpAcc:ENCSR241BSK md5sum:0ad1f4556b95196626f414ff80a5e853 URL:https://www.encodeproject.org/files/ENCFF382BPM/@@download/ENCFF382BPM.bam genomeversion:mm10,renlab
ENCFF343IRR,H3K27ac,E15.5,Neural-tube,2,ExpAcc:ENCSR241BSK md5sum:3412b5e05addf786a9e25a55e7314a25 URL:https://www.encodeproject.org/files/ENCFF343IRR/@@download/ENCFF343IRR.bam genomeversion:mm10,renlab
ENCFF211VLR,H3K4me3,P0,Midbrain,1,ExpAcc:ENCSR427ZJU md5sum:aa8e2021b2fe65bff29753ef18316597 URL:https://www.encodeproject.org/files/ENCFF211VLR/@@download/ENCFF211VLR.bam genomeversion:mm10,renlab
ENCFF454DNJ,H3K4me3,P0,Midbrain,2,ExpAcc:ENCSR427ZJU md5sum:b53dedcea130681f5f666c99be6ef4ea URL:https://www.encodeproject.org/files/ENCFF454DNJ/@@download/ENCFF454DNJ.bam genomeversion:mm10,renlab
ENCFF842NLM,H3K4me1,E16.5,Stomach,2,ExpAcc:ENCSR907CPZ md5sum:cbe7d0fa1967509ef5f9a9674ad023b5 URL:https://www.encodeproject.org/files/ENCFF842NLM/@@download/ENCFF842NLM.bam genomeversion:mm10,renlab
ENCFF305WUF,H3K4me1,E16.5,Stomach,1,ExpAcc:ENCSR907CPZ md5sum:3da950b008ac2bc05d837f68324799ab URL:https://www.encodeproject.org/files/ENCFF305WUF/@@download/ENCFF305WUF.bam genomeversion:mm10,renlab
ENCFF741FHI,H3K4me1,P0,Lung,2,ExpAcc:ENCSR523IIH md5sum:b86a3f1a8f91c44fc69a1e4a17f734f7 URL:https://www.encodeproject.org/files/ENCFF741FHI/@@download/ENCFF741FHI.bam genomeversion:mm10,renlab
ENCFF969ANK,H3K4me1,P0,Lung,1,ExpAcc:ENCSR523IIH md5sum:bd8e1fdb5fe6af9064ac7a86831d4851 URL:https://www.encodeproject.org/files/ENCFF969ANK/@@download/ENCFF969ANK.bam genomeversion:mm10,renlab
ENCFF269HRF,H3K4me1,P0,Liver,1,ExpAcc:ENCSR308GFM md5sum:f1009fda5340aad034b9089b84b38631 URL:https://www.encodeproject.org/files/ENCFF269HRF/@@download/ENCFF269HRF.bam genomeversion:mm10,renlab
ENCFF423WMP,H3K4me1,P0,Liver,2,ExpAcc:ENCSR308GFM md5sum:4d348c603a225b0ede7ff44b64a7189d URL:https://www.encodeproject.org/files/ENCFF423WMP/@@download/ENCFF423WMP.bam genomeversion:mm10,renlab
ENCFF934QPK,H3K9ac,E16.5,Lung,2,ExpAcc:ENCSR430JWT md5sum:cb4762c49a09efaea205313125f05603 URL:https://www.encodeproject.org/files/ENCFF934QPK/@@download/ENCFF934QPK.bam genomeversion:mm10,renlab
ENCFF411EBS,H3K9ac,E16.5,Lung,1,ExpAcc:ENCSR430JWT md5sum:a6bf36908b86bfa5765b0fd0b4cd685f URL:https://www.encodeproject.org/files/ENCFF411EBS/@@download/ENCFF411EBS.bam genomeversion:mm10,renlab
ENCFF559YYQ,H3K27me3,E14.5,Limb,1,ExpAcc:ENCSR765SJF md5sum:95164bfe70c09a0dd40389ffb6d8a601 URL:https://www.encodeproject.org/files/ENCFF559YYQ/@@download/ENCFF559YYQ.bam genomeversion:mm10,renlab
ENCFF958RRY,H3K27me3,E14.5,Limb,2,ExpAcc:ENCSR765SJF md5sum:578c67441f5c1633efae67209f713a42 URL:https://www.encodeproject.org/files/ENCFF958RRY/@@download/ENCFF958RRY.bam genomeversion:mm10,renlab
ENCFF965JWL,H3K27ac,E15.5,Heart,2,ExpAcc:ENCSR574VME md5sum:45111f3971dc8ea63a16d3ea9b70c5ae URL:https://www.encodeproject.org/files/ENCFF965JWL/@@download/ENCFF965JWL.bam genomeversion:mm10,renlab
ENCFF221ZQM,H3K27ac,E15.5,Heart,1,ExpAcc:ENCSR574VME md5sum:6e508a7f39df10d18627dfaae04e6703 URL:https://www.encodeproject.org/files/ENCFF221ZQM/@@download/ENCFF221ZQM.bam genomeversion:mm10,renlab
ENCFF254MMR,H3K27ac,P0,Liver,2,ExpAcc:ENCSR616TJM md5sum:9a78443c9b5a9a8b6317844ab74cb77e URL:https://www.encodeproject.org/files/ENCFF254MMR/@@download/ENCFF254MMR.bam genomeversion:mm10,renlab
ENCFF157EXF,H3K27ac,P0,Liver,1,ExpAcc:ENCSR616TJM md5sum:50825526ffbf4df462819c373df75405 URL:https://www.encodeproject.org/files/ENCFF157EXF/@@download/ENCFF157EXF.bam genomeversion:mm10,renlab
ENCFF273LRW,H3K36me3,E11.5,Hindbrain,1,ExpAcc:ENCSR175QZX md5sum:64c7505965633e73257fd145f36bf1fd URL:https://www.encodeproject.org/files/ENCFF273LRW/@@download/ENCFF273LRW.bam genomeversion:mm10,renlab
ENCFF697UCV,H3K36me3,E11.5,Hindbrain,2,ExpAcc:ENCSR175QZX md5sum:4147fd189ee3444da6fb3844a726e103 URL:https://www.encodeproject.org/files/ENCFF697UCV/@@download/ENCFF697UCV.bam genomeversion:mm10,renlab
ENCFF532DUF,H3K4me2,P0,Lung,2,ExpAcc:ENCSR340VNK md5sum:55c29e1b41cd6cebbafa8868a4bf5f73 URL:https://www.encodeproject.org/files/ENCFF532DUF/@@download/ENCFF532DUF.bam genomeversion:mm10,renlab
ENCFF789ZNZ,H3K4me2,P0,Lung,1,ExpAcc:ENCSR340VNK md5sum:1c45e1d5d6cc3661f106567a62feaa07 URL:https://www.encodeproject.org/files/ENCFF789ZNZ/@@download/ENCFF789ZNZ.bam genomeversion:mm10,renlab
ENCFF585HMR,H3K36me3,E16.5,Forebrain,1,ExpAcc:ENCSR352AWJ md5sum:005e457fa91a8447595a71fb47179092 URL:https://www.encodeproject.org/files/ENCFF585HMR/@@download/ENCFF585HMR.bam genomeversion:mm10,renlab
ENCFF752XHT,H3K36me3,E16.5,Forebrain,2,ExpAcc:ENCSR352AWJ md5sum:ee1e290c5cb0ae4881c85a63588b064f URL:https://www.encodeproject.org/files/ENCFF752XHT/@@download/ENCFF752XHT.bam genomeversion:mm10,renlab
ENCFF443AKI,H3K4me2,E13.5,Heart,1,ExpAcc:ENCSR650UAC md5sum:029a6bb7db7d31281b7b4e32ca596d67 URL:https://www.encodeproject.org/files/ENCFF443AKI/@@download/ENCFF443AKI.bam genomeversion:mm10,renlab
ENCFF351OXP,H3K4me2,E13.5,Heart,2,ExpAcc:ENCSR650UAC md5sum:500ff897e0eec7a8e2bb4e3ef55af3e4 URL:https://www.encodeproject.org/files/ENCFF351OXP/@@download/ENCFF351OXP.bam genomeversion:mm10,renlab
ENCFF703JQA,H3K4me2,E14.5,Liver,1,ExpAcc:ENCSR344BPJ md5sum:1e01e3ad2c27c1b81e4128a6af3c16fa URL:https://www.encodeproject.org/files/ENCFF703JQA/@@download/ENCFF703JQA.bam genomeversion:mm10,renlab
ENCFF231NAQ,H3K4me2,E14.5,Liver,2,ExpAcc:ENCSR344BPJ md5sum:76fb01283c2efb3459efaa6103db244d URL:https://www.encodeproject.org/files/ENCFF231NAQ/@@download/ENCFF231NAQ.bam genomeversion:mm10,renlab
ENCFF732CKY,H3K36me3,E14.5,Stomach,2,ExpAcc:ENCSR581FAT md5sum:e9e48eb9d268de6b6fa0b227bcf78565 URL:https://www.encodeproject.org/files/ENCFF732CKY/@@download/ENCFF732CKY.bam genomeversion:mm10,renlab
ENCFF442VXF,H3K36me3,E14.5,Stomach,1,ExpAcc:ENCSR581FAT md5sum:7eadebc33dedf30f9027dc6851858739 URL:https://www.encodeproject.org/files/ENCFF442VXF/@@download/ENCFF442VXF.bam genomeversion:mm10,renlab
ENCFF034CII,H3K27ac,E15.5,Hindbrain,1,ExpAcc:ENCSR066XFL md5sum:cc882221bc9dd1a12c0840f2e27e00da URL:https://www.encodeproject.org/files/ENCFF034CII/@@download/ENCFF034CII.bam genomeversion:mm10,renlab
ENCFF329NJZ,H3K27ac,E15.5,Hindbrain,2,ExpAcc:ENCSR066XFL md5sum:b94b96025b64459ffd037b78ffc92038 URL:https://www.encodeproject.org/files/ENCFF329NJZ/@@download/ENCFF329NJZ.bam genomeversion:mm10,renlab
ENCFF375TJM,H3K4me3,E13.5,Heart,1,ExpAcc:ENCSR501GBJ md5sum:56872ff4308a8f1352de7661d3e92271 URL:https://www.encodeproject.org/files/ENCFF375TJM/@@download/ENCFF375TJM.bam genomeversion:mm10,renlab
ENCFF491WXR,H3K4me3,E13.5,Heart,2,ExpAcc:ENCSR501GBJ md5sum:2a42e1e615affa2229873ad1d41a3b05 URL:https://www.encodeproject.org/files/ENCFF491WXR/@@download/ENCFF491WXR.bam genomeversion:mm10,renlab
ENCFF923GVJ,H3K4me1,E13.5,Forebrain,1,ExpAcc:ENCSR496TBX md5sum:94fad45262635c5489f6fb3dfe96b305 URL:https://www.encodeproject.org/files/ENCFF923GVJ/@@download/ENCFF923GVJ.bam genomeversion:mm10,renlab
ENCFF500HXC,H3K4me1,E13.5,Forebrain,2,ExpAcc:ENCSR496TBX md5sum:19e130f3b156797385a6fc184ccaf16d URL:https://www.encodeproject.org/files/ENCFF500HXC/@@download/ENCFF500HXC.bam genomeversion:mm10,renlab
